Adress,Radius,Budget,Tabu List's Max Size
"Rua Roberto Sampaio Gonzaga, Florianópolis, Brazil",500,30000,20
Operation,Number of Nodes,Number of Edges,Value,Time
"lane reversed at (541838077, 8841353743, 0)",51,91,59.81899999999998,1.7106385231018066
"lane reversed at (542607588, 1992587306, 0)",51,90,50.13733333333333,3.071235418319702
"lane added at (7571747348, 1424636458, 0)",51,90,45.47433333333338,4.490143299102783
"lane reversed at (10608526941, 542538468, 0)",51,90,44.73166666666668,5.911376953125
"lane reversed at (2892189217, 542655556, 0)",51,89,43.84566666666666,7.342689037322998
"lane reversed at (542396219, 542396390, 0)",51,88,44.43733333333334,8.619320154190063
"lane reversed at (10608526941, 3603873259, 0)",51,88,39.232000000000006,9.895957231521606
"lane reversed at (541838351, 541838356, 0)",51,88,35.02066666666668,11.14667534828186
"lane reversed at (1424636458, 7571747348, 0)",51,87,29.65600000000001,12.424368381500244
"lane reversed at (5902767415, 865711234, 0)",51,86,27.48866666666668,13.808110237121582
"lane removed at (1992587306, 5902767415, 0)",51,86,27.43600000000001,15.226179838180542
"lane reversed at (541838077, 542080261, 0)",51,85,27.91333333333334,16.627590894699097
"lane reversed at (1992587306, 542607588, 0)",51,85,23.351,18.07410764694214
"lane removed at (8841353743, 541838109, 0)",51,85,23.22866666666667,19.67411994934082
"lane added at (2608953058, 4837454355, 0)",51,85,22.87933333333335,21.27692484855652
"lane removed at (4843821515, 7571747348, 0)",51,85,22.909666666666663,22.873228073120117
"lane removed at (542538468, 10608526941, 0)",51,85,22.909666666666677,24.45038414001465
"lane reversed at (542607339, 541838351, 0)",51,85,22.995000000000008,26.050912857055664
"lane added at (1609339393, 10580486940, 0)",51,85,22.714333333333336,27.71530055999756
"lane reversed at (1424636458, 542607597, 0)",51,84,19.694666666666663,29.32755732536316
"lane reversed at (4175137733, 10580484194, 0)",51,84,18.369000000000003,31.17525601387024
"lane reversed at (541838707, 1609339393, 0)",51,84,18.51033333333334,33.08886384963989
"lane reversed at (5902767415, 1992587306, 0)",51,83,17.349333333333327,35.14240479469299
"lane reversed at (542080382, 542080261, 0)",51,82,16.856000000000005,37.18144249916077
"lane added at (9042120352, 10608526941, 0)",51,82,16.68433333333334,39.378602027893066
"lane reversed at (1992587306, 5902767415, 0)",51,82,16.115666666666673,41.51089572906494
"lane reversed at (541838634, 541837978, 0)",51,81,14.859333333333351,43.76044273376465
"lane added at (2608953058, 542607588, 0)",51,81,14.470333333333334,46.2178168296814
"lane reversed at (542396533, 6426946701, 0)",51,81,13.710666666666675,48.61000299453735
"lane reversed at (4843821512, 4843821513, 0)",51,80,13.725666666666676,51.31815695762634
"lane reversed at (541838109, 541837978, 0)",51,80,13.014666666666672,54.27553081512451
"lane removed at (541838333, 541838338, 0)",51,80,12.631333333333345,57.48655343055725
Adress,Radius,Budget,Tabu List's Max Size
"Rua Roberto Sampaio Gonzaga, Florianópolis, Brazil",500,30000,20
Operation,Number of Nodes,Number of Edges,Value,Time
"lane added at (542080261, 541838077, 0)",51,91,67.43100000000003,1.649402141571045
"lane added at (541838351, 541838356, 0)",51,91,63.24899999999998,2.2494657039642334
"lane added at (10580486940, 10608526941, 0)",51,91,67.862,2.8550961017608643
"lane reversed at (541838351, 541838356, 0)",51,91,66.99900000000001,3.4824635982513428
"lane reversed at (4175137733, 10580484194, 0)",51,91,67.05299999999997,4.101568937301636
"lane reversed at (541838077, 8841353743, 0)",51,91,41.888000000000005,4.72883939743042
"lane reversed at (7571747348, 1424636458, 0)",51,91,36.58900000000001,5.325136661529541
"lane added at (541838389, 541838306, 0)",51,91,36.93000000000001,5.913376092910767
"lane added at (1992587306, 5902767415, 0)",51,91,35.437999999999995,6.509289741516113
"lane reversed at (542655556, 541838306, 0)",51,91,38.724000000000004,7.0911571979522705
"lane removed at (542607597, 1424636458, 0)",51,91,36.033,7.662820339202881
"lane removed at (2608953058, 876375198, 0)",51,91,39.61700000000001,8.296316385269165
"lane reversed at (541838315, 865711234, 0)",51,91,39.57599999999999,8.88334035873413
"lane added at (9042120352, 10608526941, 0)",51,91,37.397000000000006,9.47623324394226
"lane reversed at (1609339393, 10580486940, 1)",51,91,37.330999999999996,10.10347580909729
"lane added at (5902767415, 865711234, 0)",51,91,38.26499999999999,10.726820945739746
"lane removed at (876375228, 876375198, 0)",51,91,38.05699999999999,11.323988199234009
"lane reversed at (2608953058, 876375198, 0)",51,91,39.20200000000002,11.908526420593262
"lane added at (5902767415, 1992587306, 0)",51,91,37.755,12.522415161132812
"lane added at (4843821515, 7571747348, 0)",51,91,38.46600000000001,13.121791124343872
"lane added at (2608953058, 4837454355, 0)",51,91,39.30699999999999,13.697874546051025
"lane reversed at (541838389, 541838306, 0)",51,91,37.33100000000001,14.3057861328125
"lane added at (541838356, 8841353743, 0)",51,91,32.983999999999995,14.890691995620728
"lane reversed at (542080382, 542396848, 0)",51,91,35.740000000000016,15.516524314880371
"lane added at (8841353743, 541838077, 0)",51,91,37.386999999999986,16.12613034248352
"lane added at (876375198, 2608953058, 0)",51,91,36.96299999999999,16.732598304748535
"lane added at (542396533, 542396848, 0)",51,91,37.79400000000001,17.3058762550354
"lane added at (6426946701, 6429267998, 0)",51,91,41.862999999999985,17.89928936958313
"lane reversed at (10580486940, 10608526941, 0)",51,91,35.12399999999998,18.53474259376526
"lane reversed at (1424636458, 7571747348, 0)",51,91,34.074999999999996,19.141889333724976
"lane reversed at (876375228, 876375198, 0)",51,91,33.64900000000001,19.758331060409546
"lane reversed at (9042120352, 10608526941, 0)",51,91,32.59599999999999,20.410032033920288
"lane reversed at (10608526941, 9042120352, 0)",51,91,32.021,21.0361065864563
"lane added at (10580486940, 1609339393, 1)",51,91,30.171000000000003,21.62911033630371
"lane added at (541838109, 541837978, 0)",51,91,38.479000000000006,22.261587381362915
"lane removed at (542607339, 541838351, 0)",51,91,38.44700000000001,22.90713143348694
"lane added at (10580486940, 10608526941, 0)",51,91,36.161,23.517335653305054
"lane added at (541838707, 1609339393, 0)",51,91,36.175999999999995,24.14011788368225
"lane removed at (1424636458, 542607597, 0)",51,91,35.89800000000001,24.793846130371094
"lane reversed at (10608526941, 542538468, 0)",51,91,37.619,25.43471908569336
"lane reversed at (541838634, 541838707, 0)",51,91,37.09,26.05432653427124
"lane added at (541838077, 542080261, 0)",51,91,32.774000000000015,26.69753122329712
"lane reversed at (541838109, 541838255, 0)",51,91,35.452999999999996,27.328308582305908
"lane reversed at (10580486940, 1609339393, 1)",51,91,33.855,27.946892976760864
"lane added at (542396533, 6426946701, 0)",51,91,33.987999999999985,28.561697483062744
"lane reversed at (541838634, 541837978, 0)",51,91,32.99499999999999,29.55875587463379
"lane reversed at (542396848, 542396219, 0)",51,91,31.755999999999993,30.168479204177856
"lane reversed at (542396533, 6426946701, 0)",51,91,32.48400000000001,30.80927300453186
"lane removed at (541838109, 541838255, 0)",51,91,32.60900000000001,31.416200876235962
"lane removed at (542607588, 542607597, 0)",51,91,31.717999999999993,32.03723096847534
"lane removed at (541838389, 542655556, 0)",51,91,33.285,32.652732849121094
"lane reversed at (5902767415, 1992587306, 0)",51,91,37.566999999999986,33.27890634536743
"lane reversed at (541838255, 541838389, 0)",51,91,31.836,33.855494022369385
"lane added at (865711234, 5902767415, 0)",51,91,33.230999999999995,34.474220275878906
"lane added at (865711234, 5902767415, 0)",51,91,33.052,35.084943771362305
"lane added at (542396390, 542396219, 0)",51,91,32.917,35.69470763206482
"lane added at (876375228, 542607597, 0)",51,91,44.600999999999985,36.350828886032104
"lane removed at (4843821515, 7571747348, 0)",51,91,47.53500000000001,36.976048707962036
"lane reversed at (542655556, 2892189217, 0)",51,91,46.843,37.57030940055847
"lane reversed at (876375198, 876375228, 0)",51,91,49.882999999999996,38.220789670944214
"lane added at (541838356, 8841353743, 0)",51,91,48.203,38.870442628860474
"lane removed at (541838707, 1609339393, 0)",51,91,51.09099999999999,39.48783564567566
"lane added at (542080382, 542396848, 0)",51,91,51.102999999999994,40.12393593788147
"lane added at (541838306, 541838389, 0)",51,91,52.57999999999999,40.74746632575989
"lane reversed at (541838351, 541838356, 0)",51,91,40.34599999999998,41.380286693573
"lane removed at (6429267998, 542395697, 0)",51,91,35.078,42.01480007171631
"lane reversed at (865711234, 5902767415, 0)",51,91,35.34699999999999,42.6194281578064
"lane added at (1992587306, 542607588, 0)",51,91,35.85100000000001,43.222952127456665
"lane reversed at (10608526941, 9042120352, 0)",51,91,35.552,43.78342151641846
"lane reversed at (542080261, 542080382, 0)",51,91,33.534,44.39236569404602
"lane added at (865711234, 5902767415, 0)",51,91,33.28099999999999,44.98734498023987
"lane reversed at (542607588, 542607597, 0)",51,91,36.28299999999999,45.60483455657959
"lane removed at (541838356, 541838077, 0)",51,91,34.909,46.24981760978699
"lane removed at (3603873259, 542396390, 0)",51,91,35.61599999999999,46.85641431808472
"lane reversed at (1609339393, 10580486940, 0)",51,91,38.93699999999999,47.46122598648071
"lane removed at (542396848, 542396533, 0)",51,91,37.178999999999995,48.07042694091797
"lane removed at (4843821515, 7571747348, 0)",51,91,35.423999999999985,48.66228723526001
"lane added at (541838356, 541838351, 0)",51,91,37.17799999999999,49.27286410331726
Status,Ending Time
None,49.285579204559326
Adress,Radius,Budget,Tabu List's Max Size
"Rua Roberto Sampaio Gonzaga, Florianópolis, Brazil",500,30000,40
Operation,Number of Nodes,Number of Edges,Value,Time
"lane reversed at (1992587306, 542607339, 0)",51,91,64.431,0.9980144500732422
"lane reversed at (541838255, 541838389, 0)",51,91,69.79499999999999,1.6137781143188477
"lane reversed at (541838634, 541838707, 0)",51,91,56.16499999999999,2.1929996013641357
"lane removed at (876375228, 876375198, 0)",51,91,55.050000000000026,2.780747413635254
"lane reversed at (541838077, 8841353743, 0)",51,91,55.76500000000003,3.3596081733703613
